JPL Id,Name,Mass (kg),Density (kg / m3)
SB:566,Stereoskopia,4979625938058370000,2000
SB:57,Mnemosyne,1495008961451490000,2000
SB:570,Kythera,1137980189811060000,2000
SB:58,Concordia,850061201271437000,1990
SB:58534,Logos,270115339387214000,1130
SB:588,Achilles,2603502606487420000,2000
SB:59,Elpis,4687057123045240000,2000
SB:59358,1999 CL1589,6417736673748300000,2000
SB:595,Polyxena,1358765664247430000,2000
SB:596,Scheila,1524678405550150000,2000
SB:6,Hebe,12800932204999600000,3850
SB:60,Echo,228464169344060000,2000
SB:602,Marianna,2031594043953710000,2000
SB:60558,Echeclus/ 174P/Echeclus,620678186553600000,2000
SB:61,Danae,578236602954441000,2000
SB:617,Patroclus,2930532404108490000,2000
SB:6178,1986 DA,2000376688600,314
SB:618,Elfriede,1822708416808830000,2000
SB:62,Erato,910139212580115000,2002
SB:624,S/2006 1 Hektor I,3534291787500000,2000
SB:624,HektorA,13998887168047200000,3196
SB:626,Notburga,1070299016229310000,2000
SB:63,Ausonia,1100142109518090000,1915
SB:64,Angelina,226194674400000000,2000
SB:6489,Golevka,359188765367,2000
SB:65,Cybele,17801763200462100000,1671
SB:654,Zelinda,2165393896848990000,2000
SB:65407,2002 RP120,3099329205265280,1902
SB:65489,Ceto,5400812013748830000,1958
SB:659,Nestor,1351304718217060000,2000
SB:66,Maja,387940236983170000,2000
SB:663,Gerlinde,1075087581001170000,2000
SB:66391,1999 KW4,2329805146320,2575
SB:66652,Borasisi,4790191640413070000,2000
SB:67,Asia,205591635436383000,2000
SB:68,Leto,1929745491430670000,2000
SB:69,Hesperia,2760495092471280000,2000
SB:690,Wratislavia,2556511187843060000,2000
SB:7,Iris,13599773856021300000,3255
SB:70,Panopaea,1902486949669570000,2000
SB:702,Alauda,6049569415356640000,1563
SB:704,Interamnia M,36994641440375800000,2226
SB:705,Erminia,2532096936685770000,2000
SB:7066,Nessus,226194674400000000,2000
SB:71,Niobe,609902606128523000,2008
SB:712,Boliviana,2174073843210720000,2000
SB:713,Luscinia,1230362177405890000,2000
SB:72,Feronia,670061151230479000,2019
SB:73,Klytia,91999369854626800,2002
SB:73840,2002 PN34,1787032044641300000,2000
SB:739,Mandeville,1302019719474150000,2000
SB:74,Galatea,1799578234345020000,2054
SB:747,Winchester,5302629258508720000,2000
SB:75,Eurydike,179999569088509000,1967
SB:76,Freia,6500400063306930000,2004
SB:762,Pulcova,2697434523996580000,2000
SB:77,Frigga,350004853514766000,2012
SB:772,Tanete,1705749122537480000,2000
SB:773,Irmintraud,923023377271807000,2000
SB:776,Berbericia,3618358947315430000,2000
SB:78,Diana,1836836699127310000,2000
SB:788,Hohensteina,1167114836696160000,2000
SB:79,Eurynome,307681693097883000,2000
SB:790,Pretoria,5181283974987420000,2000
SB:791,Ani,1161719861418160000,2000
SB:79360,Sila-Nunam9,10999134842139700000,1464
SB:79978,1999 CC1589,29420454337604300000,2000
SB:79983,1999 DF99,19487954016579200000,2000
SB:8,Flora,8470184935672790000,3300
SB:80,Sappho,504634353749060000,2000
SB:804,Hispania,9949026673628090000,4856
SB:81,Terpsichore,1768255844957570000,2000
SB:814,Tauris,1377160935852190000,2000
SB:81P,81P/Wild Wild,67020644266667,2000
SB:82,Alkmene,237226662774526000,2000
SB:83,Beatrix,559877936254156000,1984
SB:83982,Crantor,226194674400000000,2000
SB:84,Klio,519972120392401000,2002
SB:8405,Asbolus,424349586754933000,2000
SB:84522,2002 TC302,1572890745133330000000,3004
SB:84922,2003 VS2,400497448922043000000,3059
SB:85,Io,3400929614229000000,1751
SB:85633,1998 KR65,7411947090739200000,2000
SB:86,Semele,1836836699127310000,2000
SB:86047,1999 OY3,390864397363200000,2000
SB:87,Sylvia,14783452079247400000,1212
SB:88,Thisbe,10500455151158800000,1606
SB:88611,Teharonhiawako,5709086561211730000,2000
SB:89,Julia,3599508442779080000,1977
SB:895,Helio,2992097978760020000,2000
SB:9,Metis,11300441772205100000,4111
SB:90,Antiope A,410029907658620000,1157
SB:90,S/2000 1,616255318309251000,2000
SB:90377,Sedna,2999944568342400000000,2088
SB:90482,Orcus,629926446413769000000,1959
SB:90568,2004 GV9,324991883753466000000,1974
SB:909,Ulla,1653237374259760000,2000
SB:91,Aegina,1400093432744930000,2020
SB:911,Agamemnon,4842321445252210000,2000
SB:92,Undina,2099938122253130000,1985
SB:93,Minerva,2900299895508550000,1976
SB:94,Aurora,9021737936529170000,2000
SB:944,Hidalgo,57461824878133300,2000
SB:95,Arethusa,2599593300811540000,1972
SB:951,Gaspra,2000432290602430,2104
SB:96,Aegle,5099857127318190000,1986
SB:97,Klotho,589997471162209000,1985
SB:98,Ianthe,1199806494819480000,2008
SB:99,Dike,390016532720281000,2004
SB:9969,Braille,17569059770641,2000
SB:99942,Apophis,50004687024,4852
SB:9P,9P/Tempel,74983534563600,663
SB:C%2F1995%20O1,Comet Hale-Bopp C/1995 O1,226194674400000000,2000
